display_rank,source_index,reporter_slug
1,11,nuclei_hoechst
2,14,nucleolus-gc_npm3
3,44,plasma_membrane_slc3a2
4,24,chromalive_488_excitation
5,50,chaperones_hspa1b
6,29,microtubules_map4
7,6,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye
8,10,chromatin_h2bc21
9,32,autophagosome_atg101
10,49,stress_granule_g3bp1
11,51,proteasome_psmb7
12,42,endosome_vps35
13,38,lipid_droplet_plin2
14,28,actin_filament_fastact_spy555_live_cell_dye
15,17,er_golgi_cope
16,40,late_endosome_rab7a
17,27,mitochondria_tomm70a
18,21,er_sec61b
19,47,5xupre
20,34,clathrin_vesicles_clta
21,20,er_golgi_cop-ii_sec23a
22,22,trans-golgi_vamp3
23,23,er_golgi_bridge_vapa
24,15,nuclei_nucleolive_live_cell_dye
25,1,fe2+_ferhonox_live-cell_dye
26,25,mitochondria_chromalive_561_excitation
27,36,lysosome_lysotracker_live-cell_dye
28,33,lipid_droplet_bodipy_live_cell_dye
29,41,recycling_endosome_tfrc
30,0,oxidative_stress_cellrox_live-cell_dye
31,39,early_endosome_eea1
32,4,p21
33,5,p53
34,35,lysosome_lamp1
35,37,autophagosome_map1lc3b
36,16,nuclear_speckles_srrm2
37,43,plasma_membrane_atp1b3
38,19,er_ncln
39,48,caspase_activity_cellevent-caspase_live-cell_dye
40,46,peroxisome_peroxi_spy650_live_cell_dye
41,12,cell_proliferation_marker_mki67
42,18,er_cona
43,45,plasma_membrane_wga
44,31,microtubules_tubulin
45,30,f-actin_phalloidin
46,26,mitochondria_tomm20
47,13,nucleoli_npm1
48,9,nucleolus-dfc_fbl
49,2,b-catenin
50,8,ps6
51,3,c-myc
52,7,prb
